note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
1560000,Niger,13.5432651,2.1118207,2018-10-14 00:00:00,2019-01-08 11:32:39,0,CISSE Mahamadou,"'Mauvaise catégorie' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: STM Dar-Es-Salam POI types: office-company OSM data version: 2018-09-11T19:10:03Z  #mapsme",2,0,freebeer,nothing at marker
1433355,Niger,14.8820400,5.2651400,2018-06-22 00:00:00,2019-01-08 11:26:38,0,Unknown,ONPPC Tahoua,2,0,freebeer,on the map
1377500,Niger,13.5065375,2.1139495,2018-04-29 00:00:00,2019-01-08 11:18:45,0,Aloy29,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: O² Lodge POI types: building internet_access tourism-hotel OSM data version: 2018-03-16T17:06:02Z  #mapsme",2,0,freebeer,nothing at marker
1324691,Niger,14.9366993,1.8051696,2018-03-12 00:00:00,2019-01-08 11:17:19,0,Unknown,"Oct 04, 2017  Ambush",2,0,freebeer,not mappable
1288035,Niger,14.8902804,5.2684546,2018-02-03 00:00:00,2019-01-08 11:06:31,0,Mr Joker,How could a tertiary Highway runs parallel to a Motar way as there is no such thing from the imagery,2,0,freebeer,i see no such thing now
1280918,Niger,13.5222281,2.0994897,2018-01-27 00:00:00,2019-01-08 11:04:25,0,Aloy29,"'Il ny pas de source, c'est une maison d'hôtes avec une piscine' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: 🏡 Rm POI types: natural-spring OSM data version: 2018-01-10T08:12:02Z  #mapsme",2,0,freebeer,is fixed
1154833,Niger,13.5659900,2.0918800,2017-09-27 00:00:00,2019-01-08 10:55:03,0,Unknown,"Ce lieu n'est pas le centre aere BCEAO , mais  la federation Nigerienne de Football ( FENIFOOT)",2,0,freebeer,looks correct
1152566,Niger,13.5660738,2.0893872,2017-09-25 00:00:00,2019-01-08 10:54:32,0,Sani Sahirou Adamou,Le centre aéré BCEAO est plutôt ici,2,0,freebeer,on the map
1152565,Niger,13.5660164,2.0919192,2017-09-25 00:00:00,2019-01-08 10:54:02,0,Sani Sahirou Adamou,Il s'agit ici du centre de formation FENIFOOT,2,0,freebeer,on the map
1077615,Niger,13.5727500,2.0243611,2017-07-25 00:00:00,2019-01-08 10:44:14,0,Abdoul-Aziz Zakou,"'la station n'est pas a cet endroit' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Station Cité Hanberi POI types: amenity-fuel OSM data version: 2017-07-03T17:28:05Z  #mapsme",2,0,freebeer,nothing at marker
1040501,Niger,13.5066979,2.1241902,2017-06-24 00:00:00,2019-01-08 10:41:42,0,Abdoul-Aziz Zakou,"'la station n'est pas a cet emplacement' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Total POI types: amenity-fuel OSM data version: 2017-06-09T16:24:09Z  #mapsme",2,0,freebeer,nothing at marker
1039954,Niger,13.5230966,2.1565913,2017-06-23 00:00:00,2019-01-08 10:40:25,0,Abdoul-Aziz Zakou,"'il n'y a pas de station a cet emplacement' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Station Oil Libya POI types: amenity-fuel OSM data version: 2017-06-09T16:24:09Z  #mapsme",2,0,freebeer,nothing at marker
